ACO_ID,ACO_Name,ACO_State,Agree_Type,Agreement_Period_Num,Initial_Start_Date,Current_Start_Date,Current_Track_1,Current_Track_2,Current_Track_3,Current_Track_1_Plus,Current_BASIC_A,Current_BASIC_B,Current_BASIC_C,Current_BASIC_D,Current_BASIC_E,Current_ENHANCED,Risk_Model,Assign_Type,Adv_Pay,AIM,SNF_Waiver,N_AB,Sav_Rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,DisAdj,EarnSaveLoss,DisAffQual,Met_QPS,Report_WI,Report_eCQM,Report_CQM,Report_Inc,QualScore,Recvd30p,PosRegAdj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,MaxShareRate,FinalShareRate,RevLossLimit,Rev_Exp_Cat,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,P_SNF_ADM,SNF_LOS,SNF_PayperStay,N_CAH,N_FQHC,N_RHC,N_ETA,N_Hosp,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,Perc_Dual,Perc_CovDiag,Perc_CovEpisode,Perc_LTI,CAHPS_1,CAHPS_2,CAHPS_3,CAHPS_4,CAHPS_5,CAHPS_6,CAHPS_7,CAHPS_11,CAHPS_9,CAHPS_8,Measure_479,Measure_MCC1,QualityID_318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_134_eCQM-CQM,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_001_eCQM-CQM,QualityID_236_WI,QualityID_236_eCQM-CQM
A4529,Fairfield Community Health Partners,OH,Initial,1,43647,43647,0,0,0,0,0,1,0,0,0,0,One-Sided,Retrospective,0,0,0,4493,-0.043,0.0418,-2204652,0,,0,1,1,1,0,0,0,0.8089,0,0,11882,12335,51263111,53467763,,,0.4,0.4,0,High Revenue,100594,10815,19902,9272,104644,11150,21507,9929,115610,10815,20185,10419,114553,10569,24323,10643,12393,1.058,1.003,1.116,1.037,1.127,1.017,1.134,1.017,1.13,1.022,1.165,1.045,1.037,0.969,1.123,0.997,46,1191,570,3802,4314,21,769,400,3124,916,2038,1130,409,2441,2052,4324,30,15,5,3,116,3632,3369,16,154,105,435,1558,3235,3071,262,381,325,332,315,0,6,10,902,243,920,209,11334,4790,3676,2294,574,110,29,14560,0,3,1,0,1,0,55,82,52,18,1,0.2014,0.1082,0.0278,0.0752,84.31,94.6,93.02,77.74,58.14,62.2,70.11,30.2,90.99,86.82,0.1574,40.25,83.64,64.06,55.81,66,-,71.05,62.32,78.19,7.27,19.93,-,62.55,-
A4901,TUALITY HEALTH PLAN SERVICES,"OR, WA",Initial,1,43831,43831,0,0,0,0,1,0,0,0,0,0,One-Sided,Retrospective,0,0,0,15866,-0.0017,0.0267,-311071,0,,0,1,1,1,0,0,0,0.9414,0,0,11909,11738,183160901,183471972,,,0.4,0.4,0,High Revenue,81756,10785,13037,10354,96152,11175,11910,10832,89411,11901,12700,10990,80188,12957,11807,11291,11929,1.035,1.019,0.845,1.037,1.09,0.993,0.83,1.05,1.142,1.024,0.848,1.062,1.063,1.081,0.853,1.094,68,3267,1747,11795,15381,69,2553,1569,11190,3102,7418,3840,1506,8723,7143,13846,282,398,391,83,866,3327,3168,6,56,102,273,533,4470,2616,120,487,316,229,221,0,2,6,656,172,845,272,8541,2521,3537,1792,690,35,24,15370,0,12,1,0,3,4,572,1518,348,286,2,0.201,0.0311,0.011,0.0049,82.58,93.79,91.78,73.21,58.14,54.75,72.61,17.87,92.4,84.95,0.1347,31.96,75,73.95,92.86,49.34,-,77.6,72.18,89.67,0,11.69,-,63.75,-
A2612,"Bassett Accountable Care Partners, LLC",NY,Renewal,2,42005,43101,1,0,0,0,0,0,0,0,0,0,One-Sided,Retrospective,0,0,0,12570,0.0155,0.0285,2354822,0,,0,1,1,1,0,0,0,0.8803,0,0,12451,10921,152363109,150008287,,,0.5,0.5,0,High Revenue,82987,8757,13341,8930,75990,9828,14092,9656,86089,9636,15657,9982,89486,10895,16965,11232,12259,0.931,0.843,0.968,0.977,0.961,0.864,0.957,0.984,0.954,0.88,0.971,0.987,0.983,0.84,0.939,0.987,104,2524,1365,9608,12237,81,1788,1185,9182,2086,5353,3567,1564,6803,5767,11968,107,40,30,2,423,3623,3465,14,95,51,196,1264,4501,2297,151,325,316,285,274,0,4,7,791,146,774,235,8792,2215,3471,2706,399,54,26,17844,6,0,8,0,6,9,287,887,274,185,0,0.2002,0.0657,0.0185,0.0247,82.81,92.1,90.35,76.1,59.29,59.04,70.74,19.23,93.86,85.93,0.1655,39.87,93.29,81.53,85.45,84.07,-,82.91,81.64,75.41,0,14.26,-,77.51,-
A4709,"CALIFORNIA CLINICAL PARTNERS ACO, LLC",CA,Initial,1,43647,43647,0,0,0,0,0,0,0,0,0,1,Two-Sided,Retrospective,0,0,1,16635,0.1341,0.02,28742416,28742416,,21125675,1,1,1,0,0,0,0.9355,0,1,13247,12190,214312433,185570017,,,0.75,0.75,0,Low Revenue,89347,12228,13699,9951,87761,11119,14207,9994,97136,11629,15049,10321,91458,11797,13586,10187,11470,1.028,1.128,0.954,1.074,1.061,1.152,1.038,1.079,0.991,1.088,1.025,1.045,0.999,1.129,1.019,1.043,130,1926,2352,12137,16178,137,1575,2081,12384,2112,7977,4733,1813,9571,7064,12209,1121,964,1122,36,1183,3072,2800,35,220,43,347,755,1834,4750,103,649,287,221,209,1,8,3,535,176,627,271,12061,6022,5281,646,112,42,28,18077,0,0,1,0,0,0,186,137,39,35,0,0.1982,0.0545,0.0173,0.0032,75.75,90.66,90.72,74.81,52.51,52.71,71.51,13.44,85.95,80.52,0.1646,27.6,87.12,84.28,95,84.34,-,77.14,80.49,89.64,44.23,9.77,-,76.04,-
A3612,QHI ACO,CT,Initial,1,43101,43101,1,0,0,0,0,0,0,0,0,0,One-Sided,Retrospective,0,0,0,13900,0.0245,0.0277,4213428,0,,0,1,1,1,0,0,0,0.9002,0,,12679,11102,171765627,167552200,,,0.5,0.5,0,Low Revenue,99671,11915,15156,9982,88745,11177,14619,9779,90027,11254,15198,9830,84975,12111,15414,11188,12368,1.018,1.1,1.003,1.028,1.053,1.041,0.962,1.034,1.028,0.987,0.907,1.013,1.02,0.986,0.94,1.114,136,2030,2630,16827,13547,103,1223,1715,10506,1525,5328,4578,2469,7732,6168,12289,604,190,205,14,598,3346,3093,67,97,109,241,1075,2614,4287,164,730,268,269,257,2,4,7,669,222,808,231,11324,3818,4808,2319,379,78,24,13713,0,6,0,0,0,0,164,290,165,84,1,0.1978,0.0534,0.0175,0.0133,90.44,93.1,91.91,79.87,58.35,61.1,74.84,19.63,93.56,87.02,0.1576,34.35,83.25,71.06,91.67,77.74,-,77.89,75.72,81.45,9.76,13.7,-,71.55,-
A4809,"Shore Quality Partners ACO, LLC",NJ,Re-entering,3,43831,43831,0,0,0,0,0,0,1,0,0,0,Two-Sided,Prospective,0,0,1,6360,0.0371,0.0353,2999430,2999430,,1469721,1,1,1,0,0,0,0.8664,0,1,13016,12619,80930186,77930756,,,0.5,0.5,1,High Revenue,87543,10953,17034,10219,107094,9808,16216,10981,107468,10891,16165,11292,92906,10491,17319,11846,12534,1.067,0.957,1.021,1.064,0.974,0.946,1.019,1.047,1.053,0.926,0.965,1.076,1.061,0.878,1.008,1.091,31,1410,589,4936,6218,36,1127,527,4528,1182,2717,1709,752,3586,2774,5249,633,56,258,2,162,3606,3085,152,329,105,426,820,2236,4832,113,456,324,308,285,3,13,8,693,248,745,265,11578,3335,5598,1842,802,46,28,16210,0,14,0,0,1,0,51,55,77,13,0,0.1961,0.0761,0.022,0.0099,84.72,95.49,92.89,74.12,66.05,60.03,74.82,19.97,90.64,84.39,0.1539,42.47,89.8,65.94,100,80.29,-,59.01,67.22,89.97,15,20.35,-,80.07,-
A1290,MaineHealth Accountable Care Organization,"ME, NH",Renewal,3,41091,43647,0,0,0,0,0,1,0,0,0,0,One-Sided,Retrospective,0,0,0,47943,0.0108,0.0222,5774735,0,,0,1,1,1,0,0,0,1,0,0,11428,10631,533855463,528080728,,,0.4,0.4,0,High Revenue,77579,9906,13656,8917,77222,10130,13995,9248,81137,10268,14184,9652,79093,11175,14901,10410,11304,1.006,0.907,0.907,0.949,1.028,0.907,0.893,0.957,1.007,0.909,0.907,0.957,0.993,0.922,0.906,0.996,272,9610,6084,41039,46715,247,6456,4420,35592,7658,19281,14497,6507,26543,21400,45573,226,248,58,34,1804,2696,2364,13,254,82,366,519,3863,3088,126,513,289,212,195,0,12,5,713,140,759,245,8810,2440,3433,2042,894,37,25,13654,8,14,11,0,11,17,1194,2525,974,643,3,0.195,0.0379,0.0088,0.0124,86.6,94.68,92.63,79.97,70.27,67.05,73.58,19.53,93.01,88.4,0.1308,30.02,91.01,82.03,53.19,80.97,-,81.85,82.81,82.51,16.9,9.14,-,69.49,-
A3531,"UCMCNACO, LLC","IL, IN",Renewal,2,42736,43831,0,0,0,0,0,1,0,0,0,0,One-Sided,Prospective,0,0,0,8017,0.0105,0.032,1362896,0,,0,1,1,1,0,0,0,0.9188,0,1,16612,16908,129201827,127838931,,,0.4,0.4,0,High Revenue,100206,16922,21031,13122,97248,16650,24447,13250,108226,17421,24335,13451,109964,15522,24013,13588,16437,1.048,1.501,1.251,1.261,1.031,1.487,1.292,1.24,0.998,1.5,1.258,1.228,1.077,1.432,1.282,1.257,167,1131,806,6039,7778,117,952,870,5839,1075,3420,2463,1059,4956,3061,4030,3573,84,75,2,253,4805,4242,109,455,61,384,835,5568,4016,137,876,528,396,371,2,18,5,718,297,1021,321,10631,3087,5514,1981,50,61,26,14065,0,0,0,0,1,0,381,1118,413,132,15,0.1949,0.0636,0.0231,0.0102,82.91,95.07,94.26,80.36,67.3,55.58,71.26,26.88,94.95,86.96,0.1618,41.98,98.4,90.15,90.32,72.24,-,74.6,81.85,90.35,3.33,10.47,-,72.58,-
A1052,"Quality Independent Physicians, LLC","KY, IN",Renewal,3,41091,43647,0,0,0,0,0,0,0,0,1,0,Two-Sided,Prospective,1,0,1,6809,-0.0128,0.005,-877620,-877620,-263286,0,1,1,1,0,0,0,0.9479,0,1,10421,10014,68731852,69609472,0,0,0.5,0.5,1,Low Revenue,76631,7535,12981,8691,85337,7800,13470,9005,81125,8231,13895,9020,88165,8710,17462,9795,10554,1.046,0.845,0.908,1.047,1.069,0.874,0.889,1.063,1.033,0.897,0.9,1.05,1.111,0.85,0.975,1.048,52,1945,1020,6386,6596,22,1081,582,4911,1137,3019,1899,754,3563,3246,6410,200,20,10,3,166,2818,2434,78,306,27,372,808,2561,3360,179,444,390,283,260,3,16,3,651,196,762,212,11476,3941,3368,1670,2496,67,24,12270,0,3,6,0,0,0,45,11,70,17,0,0.1912,0.0881,0.0269,0.0322,88.54,93.99,92.31,82.33,62.79,61.94,70.19,28.65,90.82,85.66,0.1469,35.51,93.77,80.5,93.33,74.44,-,75.59,70.03,93.8,15.79,9.8,-,78.77,-
A4873,"Accountable Care Coalition of Northeast Partners, LLC","MD, VA, DC",Re-entering,2,43831,43831,0,0,0,0,0,1,0,0,0,0,One-Sided,Retrospective,0,0,0,18039,0.0312,0.0258,7154288,7154288,,2804481,1,1,1,0,0,0,0.9116,0,0,13041,12959,229253826,222099537,,,0.4,0.4,0,Low Revenue,101015,14129,14435,10930,104104,13773,14343,11607,91352,15560,15018,11566,94248,15833,16245,11003,12634,1.098,1.07,0.883,0.987,1.077,1.054,0.881,0.98,1.027,1.022,0.892,0.953,0.997,1.044,0.862,0.928,111,1681,2581,13020,17579,104,1390,2534,13551,1845,8430,5483,2281,10597,7442,10917,3613,1380,611,18,1500,3669,3477,30,177,15,235,1048,2057,5266,137,389,238,233,223,1,8,1,557,195,692,286,13943,6359,5770,1807,7,67,30,14832,0,0,0,0,0,0,90,9,68,19,1,0.1911,0.0596,0.0155,0.0334,87,90.5,89.99,76.51,59.49,57.63,71.8,22.21,90.41,83.99,0.152,31.7,84.45,86.08,84.09,81.3,-,64.05,70.06,87.79,40.91,12.67,-,73.78,-
A2824,"Hudson Accountable Care, LLC","NY, CT",Renewal,2,42370,43647,0,0,0,0,0,0,0,0,1,0,Two-Sided,Retrospective,0,0,0,10184,0.103,0,12613429,12613429,,6180580,1,1,1,0,0,0,0.8565,0,1,12272,11282,122469218,109855789,,,0.5,0.5,1,Low Revenue,81755,9633,12490,8314,90754,9520,12046,8438,91533,9522,12180,8392,95762,10248,12287,9441,11008,0.976,0.865,0.857,0.899,0.956,0.878,0.878,0.931,1.001,0.863,0.873,0.921,0.987,0.849,0.88,0.915,143,1664,1230,6941,9979,129,1334,1209,7307,1649,5191,2512,832,5878,4306,4493,3980,521,351,14,825,3087,2838,11,167,76,64,891,2308,4364,69,390,159,235,223,1,6,4,482,191,558,281,10028,3660,5409,948,12,35,33,23108,0,0,0,0,0,0,263,192,137,34,0,0.1903,0.0681,0.0182,0.0024,76.66,90.99,90.46,79.42,60.88,56.54,71.71,17.69,89.35,82.89,0.1647,36.69,96.74,74.96,86.96,93.94,-,73.77,84.77,83.52,37.04,9.95,-,63.93,-
A2193,"Adirondacks ACO, LLC",NY,Renewal,3,41640,43831,0,0,0,0,0,1,0,0,0,0,One-Sided,Prospective,0,0,0,22716,0.0359,0.0247,8628669,8628669,,3382438,1,1,1,0,0,0,0.9206,0,1,10873,10926,240670161,232041492,,,0.4,0.4,0,High Revenue,80149,8834,12836,8959,76682,9248,14287,9488,86403,9528,14987,9854,88743,8609,16317,9541,10483,1.039,0.859,1.032,1.022,1.023,0.84,0.988,1,1.041,0.851,1.006,1.004,1.019,0.835,0.973,0.977,158,4459,1998,16616,22135,162,3797,1707,16469,3987,9348,6417,2964,12077,10639,21801,156,48,41,28,642,2803,2699,2,59,43,148,842,3668,2485,159,327,302,243,237,0,3,3,682,196,759,232,9325,2107,3147,1947,2124,45,29,14846,2,20,5,0,5,9,363,758,283,257,0,0.1884,0.0604,0.014,0.026,83.43,95.98,93.16,75.21,67.78,64.11,73.79,20.43,94.9,86.63,0.1491,34.26,77.46,72.41,68,79.34,-,78.15,78.7,84.51,4.49,12.23,-,73.19,-
A3576,Berkshire ACO,"MA, NY",Initial,1,43101,43101,1,0,0,0,0,0,0,0,0,0,One-Sided,Retrospective,0,0,0,5903,0.0074,0.0363,490953,0,,0,1,1,1,0,0,0,0.911,0,,11517,10839,66118433,65627481,,,0.5,0.5,0,Low Revenue,92809,9314,19042,9192,96833,9313,15976,9874,82190,9413,18830,9459,113557,9871,22477,9873,11431,0.994,0.911,1.007,0.942,1.075,0.891,1.033,0.943,1.003,0.895,1.007,0.944,0.99,0.905,1.005,0.902,31,937,666,5130,5741,18,580,561,4582,713,2549,1738,903,3223,2680,5612,61,17,5,0,208,2981,2781,9,135,60,310,1664,3265,2558,184,619,213,207,195,0,6,6,597,157,668,185,9884,3946,4086,1813,39,84,40,20770,0,0,0,0,0,0,22,1,8,0,0,0.188,0.0444,0.008,0.0505,80.32,92.32,91.93,73.99,61.12,65.1,74,19.63,89.81,85.17,0.1493,33.39,87.74,66.94,78.26,66.9,-,74.34,77.82,83,5.56,10.38,-,74.54,-
A3873,"Adventist Health Accountable Care, LLC",CA,Initial,1,43101,43101,1,0,0,0,0,0,0,0,0,0,One-Sided,Retrospective,0,0,0,18044,0.0232,0.0258,5287113,0,,0,1,1,1,0,0,0,0.8959,0,,12961,12269,227593790,222306676,,,0.5,0.5,0,High Revenue,98628,11018,13615,10689,92401,11393,13636,10416,92575,11616,14497,10937,87593,11727,16306,11375,12660,1.048,0.981,0.919,0.987,1.063,0.995,0.893,1.009,1.009,1.015,0.956,0.983,0.981,0.996,0.926,0.963,160,1828,2006,11316,17560,143,1410,2269,13739,1951,8539,5376,2178,10391,7653,14882,335,801,944,70,1012,3493,3199,24,294,6,331,897,2566,4582,99,846,278,239,227,1,11,1,557,184,671,275,11354,4191,5812,1160,192,44,29,20335,0,0,1,0,1,1,237,312,165,138,0,0.1873,0.0624,0.0203,0.0063,81.79,93.15,92.4,81.81,61.88,58.55,71.65,22.58,90.69,83.65,0.162,34.15,89.71,82.61,91.67,82.53,-,76.43,76.97,89.72,20.69,11.62,-,72.27,-
A3378,AllCare Health Alliance,NJ,Renewal,2,42736,43831,0,0,0,0,0,1,0,0,0,0,One-Sided,Retrospective,0,0,0,9827,0.0426,0.0302,4887976,4887976,,1916087,1,1,1,0,0,0,0.8749,0,1,11951,11896,114680772,109792796,,,0.4,0.4,0,Low Revenue,101152,11682,14779,9874,100110,11564,14924,10231,98547,11176,15662,10693,81943,12075,17198,10157,11441,1.117,1.064,1.064,1.028,1.103,1.025,1.026,1.01,0.981,1.032,1,0.993,0.97,0.946,0.971,0.968,30,1448,937,6944,9596,43,1387,936,7231,1664,4537,2623,1003,5980,3847,7614,1348,235,237,3,390,3208,2922,66,215,60,146,797,2602,4253,90,379,259,285,270,2,9,4,654,227,802,282,10484,3694,5643,1142,6,53,26,14827,0,0,0,0,0,0,190,141,86,12,0,0.1869,0.0687,0.0191,0.0156,81.44,94.3,92.84,71.75,62.11,57.06,73.25,25.52,94.82,83.86,0.1842,40.43,96.1,74.02,100,88.39,-,75.18,75.3,60.17,0,12.26,-,74.03,-
A2198,Reliance ACO LLC,MI,Renewal,3,41640,43831,0,0,0,0,0,0,1,0,0,0,Two-Sided,Prospective,0,0,1,7474,0.0137,0.0331,1286459,0,,0,1,1,1,0,0,0,0.8502,0,1,12894,13096,93560892,92274434,,,0.5,0.5,1,Low Revenue,92029,11545,20100,11159,97581,11049,19582,10952,100325,12045,18642,11247,76184,12129,17314,11285,12717,1.134,1.209,1.269,1.205,1.11,1.166,1.182,1.19,1.089,1.158,1.104,1.15,1.033,1.137,1.17,1.151,79,1535,1005,6663,7256,79,998,735,5444,1092,3237,2129,1016,4447,3027,5632,1523,87,15,6,211,3834,3364,129,283,110,368,786,2574,4408,129,667,313,378,350,4,14,10,741,318,755,217,12282,5543,5108,1547,85,73,23,11115,0,7,0,0,0,0,90,31,40,19,0,0.1862,0.083,0.0264,0.0194,86.89,91.57,91.33,81.57,61.15,56.33,71.47,26.35,89.7,83.65,0.1587,39.33,90.41,80.04,82.86,66.27,-,65.12,66,85.88,15.79,16.85,-,74.11,-
A2246,PMC ACO,MI,Renewal,3,41640,43831,0,0,0,0,0,0,1,0,0,0,Two-Sided,Retrospective,0,0,1,5899,0.0447,0.01,3100972,3100972,,1519476,1,1,1,1,0,0,0.8524,0,1,12209,12410,69446640,66345667,,,0.5,0.5,1,Low Revenue,86919,10675,19896,10574,83343,9601,16495,10161,87878,10309,16331,10666,78755,9900,16919,10254,11663,1.04,1.078,1.177,1.177,1.023,1.036,1.12,1.125,1.017,1.05,1.099,1.131,1.02,1.058,1.042,1.139,93,1493,512,4987,5688,86,1145,375,4081,1402,2298,1537,662,3582,2317,4638,1059,22,18,5,157,3486,3089,135,271,68,322,597,2549,3895,146,459,353,324,299,3,14,7,668,262,808,191,12029,6280,4079,1527,144,60,19,10312,0,0,1,0,0,0,52,8,46,30,0,0.183,0.0909,0.029,0.0185,85.25,91.37,88.75,84.61,58.84,57.46,68.55,19.57,90.9,79.67,0.1495,36.61,84.98,72.28,71.88,79.97,-,62.52,64.86,81.27,18.18,19.1,-,83.06,-
A4513,CAMC Health Network LLC,"WV, VA",Initial,1,43647,43647,0,0,0,0,0,1,0,0,0,0,One-Sided,Prospective,0,0,0,12526,0.0111,0.0285,1438986,0,,0,1,1,1,0,0,0,0.7462,0,1,10671,10566,129873157,128434171,,,0.4,0.4,0,High Revenue,90552,8017,13182,8516,77657,8394,13296,8682,88930,9171,14029,9460,83971,9455,14800,9650,10553,1.126,0.982,0.966,1.105,1.112,0.986,0.972,1.116,1.053,0.991,0.972,1.1,1.092,0.966,0.958,1.128,151,4222,1504,9681,12171,84,2409,1009,8669,2566,5674,3029,1257,6945,5581,11936,396,20,8,5,161,3163,2780,73,273,55,288,605,3138,2528,257,584,395,323,301,2,15,5,725,240,811,180,9080,1683,3332,1840,2225,44,26,13538,4,32,10,0,5,9,367,693,344,191,0,0.1799,0.073,0.0236,0.0093,85.98,93.63,93.12,79.68,66.27,57.53,67.07,28.03,93.11,86.76,0.1671,36.93,69.09,67.17,62.5,77.82,-,46.2,67.63,80.8,34.62,48.94,-,58.49,-
A2802,Space Coast ACO,FL,Renewal,2,42370,43647,0,0,0,0,0,0,1,0,0,0,Two-Sided,Retrospective,0,0,1,7963,0.0677,0.02,6514662,6514662,,3192185,1,1,1,0,0,0,0.8479,0,1,12502,12206,96265717,89751055,,,0.5,0.5,1,Low Revenue,97026,11118,17054,10000,82050,11038,16263,9561,81947,11702,16018,10158,87382,10158,15062,10584,11656,1.009,1.077,0.949,1.142,1.031,1.029,0.976,1.12,1.001,0.994,0.954,1.1,1.06,0.996,0.97,1.135,112,1574,800,6312,7700,75,1159,673,5793,1428,3538,2262,735,4366,3597,6812,770,67,117,4,193,3346,2883,73,333,70,239,534,1965,4836,118,639,286,341,312,3,16,10,759,278,757,264,12617,4463,5156,1481,1517,49,24,11417,0,12,0,0,0,0,134,7,49,14,0,0.1799,0.0713,0.0251,0.0079,84.8,92.13,90.24,76.05,57.49,61.56,69.54,18.89,87.25,84.57,0.1557,35.4,72.06,77.87,68.83,75.13,-,70.7,69.62,83.3,15.38,14.43,-,77.5,-
A4553,CHS Physician Partners ACO II LLC,NY,Initial,1,43647,43647,0,0,0,0,0,1,0,0,0,0,One-Sided,Prospective,0,0,0,7398,0.0473,0.0332,5610780,5610780,,2199426,1,1,1,0,0,0,0.8713,0,1,16497,14342,118532658,112921878,,,0.4,0.4,0,High Revenue,101998,11516,17748,12761,113493,10617,17774,12334,115404,11074,17997,13411,102806,12500,21556,14325,15716,1.019,0.932,1.023,1.16,1.004,0.865,0.986,1.098,1.05,0.878,0.99,1.118,1.044,0.914,1.05,1.194,40,801,753,4944,7185,57,810,889,5428,867,3139,2293,1099,4235,3163,5706,829,251,158,9,445,4186,3939,11,140,109,283,1964,2463,6500,90,710,269,330,316,1,6,8,604,271,820,437,16232,6693,7939,1568,32,72,36,25250,0,0,0,0,0,0,107,265,50,65,0,0.1785,0.1038,0.0284,0.0212,85.47,92.71,93.18,78.17,59.13,55.33,69.24,26.69,90.31,83.21,0.1632,37.42,90.86,76.44,97.06,88.51,-,59,72.22,90.48,0,8.9,-,90.79,-
A3663,"CHSPSC ACO 1, LLC","MS, LA",Initial,1,43101,43101,1,0,0,0,0,0,0,0,0,0,One-Sided,Retrospective,0,0,0,6798,0.0623,0.0344,4623352,4623352,,2265443,1,1,1,0,0,0,0.8274,0,,11271,10664,74262228,69638876,,,0.5,0.5,0,High Revenue,66104,9216,14689,7662,72719,10118,15850,8377,65726,10583,15936,8656,74863,10272,15325,8839,10569,0.947,0.964,0.93,0.901,0.937,0.954,0.907,0.9,0.941,0.983,0.925,0.919,0.876,0.927,0.87,0.899,128,1869,1140,6582,6589,90,881,643,4974,1126,3228,1779,665,3801,2997,4296,2365,45,6,3,83,2724,2283,244,93,136,324,553,2242,3631,148,901,359,275,249,10,5,12,664,215,623,223,10304,4297,3752,1769,486,35,34,15210,0,0,4,0,9,8,147,149,88,12,0,0.1772,0.0865,0.021,0.014,85.68,93.3,92.54,80.1,52.33,57.96,68.38,29.21,92.21,83.79,0.1607,37.09,95.9,72.5,85,70,-,61.06,60.07,90.51,2.78,16.61,-,62.1,-
A2628,"Adena Healthcare Collaborative, LLC",OH,Renewal,2,42005,43101,1,0,0,0,0,0,0,0,0,0,One-Sided,Retrospective,0,0,0,7848,-0.0219,0.0323,-1986931,0,,0,1,1,1,0,0,0,0.888,0,1,11955,11573,90726719,92713650,,,0.5,0.5,0,Low Revenue,96914,9624,15872,9102,89137,9157,15408,9167,90717,9848,15558,9959,97862,11363,18204,11046,12217,1.078,1.037,1.142,1.082,1.053,1.021,1.059,1.072,1.043,1.034,1.118,1.049,1.018,0.948,1.103,1.066,81,2208,867,5792,7589,50,1301,582,5656,1606,3696,1898,648,4366,3482,7485,192,23,4,3,141,3256,3058,19,87,111,414,1190,4141,2556,238,413,357,312,299,0,4,8,828,192,969,231,9634,3291,4034,2255,53,71,23,17207,0,0,0,0,0,0,95,292,139,20,1,0.1762,0.0939,0.0282,0.0098,89.19,95.74,94.65,82.2,56.94,57.2,69.6,23.51,94.33,89.08,0.1595,35.69,96.41,79.25,100,39.5,-,66.56,60,80.9,0,13.28,-,69.05,-
